name,address,phone,website,rating,reviewsCount,category,hours,reviews,isSponsored,url
"Gallerie Splash - Art Gallery","Saraswati Kunj, 87 F, Golf Course Rd, Parsvnath Exotica, Sector 53, Gurugram, Haryana 122011","098997 97347","https://www.galleriesplash.com/","4.6","4","Art gallery","Wednesday11 am–7 pmSuggest new hours","","false","https://www.google.com/maps/place/Gallerie+Splash+-+Art+Gallery/@28.4715968,77.0704328,14z/data=!4m10!1m2!2m1!1ssearch+query+art+gallery+Gurgaon+sector+43!3m6!1s0x390d1f52cc0fd36b:0x7ebb7c00213fee79!8m2!3d28.4381804!4d77.102939!15sCipzZWFyY2ggcXVlcnkgYXJ0IGdhbGxlcnkgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IGFydCBnYWxsZXJ5IGd1cmdhb24gc2VjdG9yIDQzkgELYXJ0X2dhbGxlcnmaASRDaGREU1VoTk1HOW5TMFZPVTFsMFgwZG9OemhQZEdoQlJSQULgAQD6AQQIABAk!16s%2Fg%2F11f15k580p"
"Gallerie Alternatives","102 first, Dt Mega Mall, Golf Course Rd, A Block, DLF Phase 1, Gurugram, Haryana 122002","097173 96819","http://www.galleriealternatives.com/","4.7","4","Art gallery","Wednesday11 am–7 pmSuggest new hours","","false","https://www.google.com/maps/place/Gallerie+Alternatives/@28.4715968,77.0704328,14z/data=!3m1!5s0x390d192850029ce7:0x860ae9721aa70af5!4m10!1m2!2m1!1ssearch+query+art+gallery+Gurgaon+sector+43!3m6!1s0x390d1947f424f5bb:0xfc0a700c68f2af79!8m2!3d28.4763209!4d77.0931799!15sCipzZWFyY2ggcXVlcnkgYXJ0IGdhbGxlcnkgR3VyZ2FvbiBzZWN0b3IgNDOSAQthcnRfZ2FsbGVyeeABAA!16s%2Fg%2F1tx1rlbq"
"Gallery One","4105, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","0124 406 5331","http://www.galleryoneindia.com/","4.7","4","Art gallery","Wednesday10:30 am–6:30 pmSuggest new hours","","false","https://www.google.com/maps/place/Gallery+One/@28.4715968,77.0704328,14z/data=!4m10!1m2!2m1!1ssearch+query+art+gallery+Gurgaon+sector+43!3m6!1s0x390d18de0e2c69dd:0xfc6d0a7900f096c6!8m2!3d28.467375!4d77.080393!15sCipzZWFyY2ggcXVlcnkgYXJ0IGdhbGxlcnkgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IGFydCBnYWxsZXJ5IGd1cmdhb24gc2VjdG9yIDQzkgELYXJ0X2dhbGxlcnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjRiVnBYVDJwM1JSQULgAQD6AQQIABAx!16s%2Fg%2F11f4_35d8m"
"Gallery Dotwalk","B19/5 F, First Floor, Golf Crse Rd, DLF Phase 1, Gurugram, Haryana 122002","098910 12680","https://gallerydotwalk.com/","4.8","4","Art gallery","Wednesday10:30 am–6:30 pm","","false","https://www.google.com/maps/place/Gallery+Dotwalk/@28.4715968,77.0704328,14z/data=!4m10!1m2!2m1!1ssearch+query+art+gallery+Gurgaon+sector+43!3m6!1s0x390d191dea329483:0x30ca97b3fd5f71a0!8m2!3d28.469569!4d77.0944932!15sCipzZWFyY2ggcXVlcnkgYXJ0IGdhbGxlcnkgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IGFydCBnYWxsZXJ5IGd1cmdhb24gc2VjdG9yIDQzkgELYXJ0X2dhbGxlcnmaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjF6TUdFeGJGVldWemwxVmxoV2VscHRPVXRhYlUwd1RURndURTV1WXhBQuABAPoBBAgAEDQ!16s%2Fg%2F11rr8vk7ch"
"Artistique Art Gallery","The Luxury Retail Arcade The Oberoi, Gurgaon, 443, Udyog Vihar Industrial Area Phase VI, Gurugram, Haryana 122016","","https://artistiqueartgallery.com/","5","5","Art gallery","Wednesday11 am–7 pmSuggest new hours","","false","https://www.google.com/maps/place/Artistique+Art+Gallery/@28.4715968,77.0704328,14z/data=!4m10!1m2!2m1!1ssearch+query+art+gallery+Gurgaon+sector+43!3m6!1s0x390d190734d50c97:0xef7e9da1a36c9f87!8m2!3d28.5024942!4d77.0884807!15sCipzZWFyY2ggcXVlcnkgYXJ0IGdhbGxlcnkgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IGFydCBnYWxsZXJ5IGd1cmdhb24gc2VjdG9yIDQzkgELYXJ0X2dhbGxlcnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmFibkJ1WVU1UkVBReABAPoBBAgAECA!16s%2Fg%2F11h0xx13kt"
"Antarang","Antarang, Unit 3, Tower 8, Dlf The Camellias, DLF Golf Course, Sector 42, Gurugram, Haryana 122009","","","5","5","Art gallery","Wednesday11 am–7 pmSuggest new hours","","false","https://www.google.com/maps/place/Antarang/@28.4715968,77.0704328,14z/data=!4m10!1m2!2m1!1ssearch+query+art+gallery+Gurgaon+sector+43!3m6!1s0x390d19d92cd3cd91:0x28c261c83a354052!8m2!3d28.4515046!4d77.1006946!15sCipzZWFyY2ggcXVlcnkgYXJ0IGdhbGxlcnkgR3VyZ2FvbiBzZWN0b3IgNDOSAQthcnRfZ2FsbGVyeeABAA!16s%2Fg%2F11mkf2l9lv"
"Uchaan Arts","Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010","088602 77388","https://www.uchaanarts.com/","4.8","4","Art gallery","Wednesday11 am–8 pmSuggest new hours","","false","https://www.google.com/maps/place/Uchaan+Arts/@28.4715968,77.0704328,14z/data=!3m1!5s0x390d194c203c3dfb:0x2ee084f3fc91cac0!4m10!1m2!2m1!1ssearch+query+art+gallery+Gurgaon+sector+43!3m6!1s0x390d18e7ab019555:0x612879aa645a99cf!8m2!3d28.5050164!4d77.0965475!15sCipzZWFyY2ggcXVlcnkgYXJ0IGdhbGxlcnkgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IGFydCBnYWxsZXJ5IGd1cmdhb24gc2VjdG9yIDQzkgELYXJ0X2dhbGxlcnngAQA!16s%2Fg%2F11c1wk7r25"
"Kove | Space for Art - Art Gallery in Gurgaon","4609, Dahlia Ln, DLF Phase IV, Gurugram, Haryana 122009","098115 84555","","4.3","4","Art gallery","Wednesday11 am–6 pm","","false","https://www.google.com/maps/place/Kove+%7C+Space+for+Art+-+Art+Gallery+in+Gurgaon/@28.4715968,77.0704328,14z/data=!3m1!5s0x390d194c203c3dfb:0x2ee084f3fc91cac0!4m10!1m2!2m1!1ssearch+query+art+gallery+Gurgaon+sector+43!3m6!1s0x390d199c9a8e45d5:0xf0ad4d73bc51ec23!8m2!3d28.4648032!4d77.0844353!15sCipzZWFyY2ggcXVlcnkgYXJ0IGdhbGxlcnkgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IGFydCBnYWxsZXJ5IGd1cmdhb24gc2VjdG9yIDQzkgELYXJ0X2dhbGxlcnngAQA!16s%2Fg%2F11n0bcrn0x"
"Art Incept","227 South Point Mall, Golf Course Rd, DLF Phase 5, Gurugram, Haryana 122011","081784 41084","https://artincept.com/","4.9","4","Art gallery","Wednesday11 am–6:30 pmSuggest new hours","","false","https://www.google.com/maps/place/Art+Incept/@28.4715968,77.0704328,14z/data=!3m1!5s0x390d18b45a1fdced:0x860ae9727251f530!4m10!1m2!2m1!1ssearch+query+art+gallery+Gurgaon+sector+43!3m6!1s0x390d18b45191d8c9:0xcd3ae9c1943c7301!8m2!3d28.4474794!4d77.0995655!15sCipzZWFyY2ggcXVlcnkgYXJ0IGdhbGxlcnkgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IGFydCBnYWxsZXJ5IGd1cmdhb24gc2VjdG9yIDQzkgELYXJ0X2dhbGxlcnngAQA!16s%2Fg%2F11f2ns3dnd"
"Om Photo Framing & Art Gallery","H-128,G.F, Sushant Shopping Arcade, near Courtyard Marriott Hotel, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","098114 46578","","4.9","4","Picture frame shop","Wednesday10 am–8 pmSuggest new hours","","false","https://www.google.com/maps/place/Om+Photo+Framing+%26+Art+Gallery/@28.4715968,77.0704328,14z/data=!4m10!1m2!2m1!1ssearch+query+art+gallery+Gurgaon+sector+43!3m6!1s0x390d18de6e795831:0xcb668a0a841e1e47!8m2!3d28.4612905!4d77.0791257!15sCipzZWFyY2ggcXVlcnkgYXJ0IGdhbGxlcnkgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IGFydCBnYWxsZXJ5IGd1cmdhb24gc2VjdG9yIDQzkgEScGljdHVyZV9mcmFtZV9zaG9w4AEA!16s%2Fg%2F11bzq0y9k1"
