name,address,phone,website,rating,reviewsCount,category,hours,reviews,isSponsored,url
"Healthy Bakers","482, Golf Course Road, Sector 43, Gurugram, Haryana 122009","098103 18134","http://www.facebook.com/healthybakers","4.5","4","Bakery and Cake Shop","Wednesday9:30 am–6:30 pmSuggest new hours","","false","https://www.google.com/maps/place/Healthy+Bakers/@28.4514136,77.0389477,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d18c5fe4b4401:0x9409217be3176391!8m2!3d28.4564512!4d77.0906478!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F11bw5tz_bm"
"Melting Momentz","E23 Basement, opp. Paras Hospital, E - Block, Sushant Lok Phase I, Sector 52A, Gurugram, Haryana 122009","075079 12299","","4.9","4","Bakery and Cake Shop","Wednesday9:30 am–7:30 pmSuggest new hours","","false","https://www.google.com/maps/place/Melting+Momentz/@28.4514136,77.0389477,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d1f3e5af4d8e7:0xc6327f6a9356019f!8m2!3d28.4473767!4d77.0855064!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F11fm6qh17_"
"Bakingo","Unit 3, 505-506, near Supermart 2, Block C2, DLF Phase IV, Sector 43, Gurugram, Haryana 122009","088825 53333","https://www.bakingo.com/cakes/gurgaon?utm_source=google&utm_medium=local&utm_campaign=505-506near_supermart_2","4.5","4","Cake shop","Wednesday7 am–11:30 pmSuggest new hours","","false","https://www.google.com/maps/place/Bakingo/@28.4514136,77.0389477,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d1917b42f6d91:0x2755e07a1e926896!8m2!3d28.4610899!4d77.0885923!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQljYWtlX3Nob3DgAQA!16s%2Fg%2F11pdvvm9km"
"Cheesecake and Co.","no 3, Sushant Lok 1 Rd, Block A, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","","","2.9","2","Bakery and Cake Shop","Wednesday8 am–2 amSuggest new hours","","false","https://www.google.com/maps/place/Cheesecake+and+Co./@28.4514136,77.0389477,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d199619c71fdd:0x89f80e35acf5548b!8m2!3d28.4659426!4d77.0796051!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F11vc772ndr"
"Harish Bakery And Sweets","Shop No- 21, 11 Market, Old Railway Rd, opposite Sector 7, Shivpuri, Sector 7, Gurugram, Haryana 122001","095600 22269","https://harishbakery.com/outlet/","4.1","4","Bakery and Cake Shop","Wednesday8 am–10:30 pmSuggest new hours","","false","https://www.google.com/maps/place/Harish+Bakery+And+Sweets/@28.4514136,77.0389477,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d19d3d75e9075:0x709ae8497a68d439!8m2!3d28.4720542!4d77.0183226!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F11jzplkfsr"
"Golden Bake & Cakes","Arcadia Market, CG-95, near GOPALA SWEETS, South City II, Sector 49, Gurugram, Fatehpur, Haryana 120022","091169 06007","","4.8","4","Bakery and Cake Shop","Wednesday9 am–12 amSuggest new hours","","false","https://www.google.com/maps/place/Golden+Bake+%26+Cakes/@28.4720542,76.9802138,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d1900f0dd5335:0xac2094bc23a709e0!8m2!3d28.4202196!4d77.0517039!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F11t6g89vs6"
"ROF PORTICO","I, Vyapar Kendra Rd, Sushant Lok, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","099990 36154","","4.3","4","Shopping mall","Wednesday9 am–10 pmSuggest new hours","","false","https://www.google.com/maps/place/ROF+PORTICO/@28.4202196,77.0135951,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d18c1aa7792d3:0x25367c096247ac94!8m2!3d28.4531034!4d77.0822983!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQ9zaG9wcGluZ19jZW50ZXLgAQA!16s%2Fg%2F11f0kx1vzq"
"Cafe AURIKA | Garden cafe","C - 14, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","088260 02788","","4.2","4","Cafe","Wednesday8 am–12 amSuggest new hours","","false","https://www.google.com/maps/place/Cafe+AURIKA+%7C+Garden+cafe/@28.4202196,77.0135951,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d192f311eb591:0x75963c869270cd51!8m2!3d28.4596543!4d77.0792094!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQRjYWZl4AEA!16s%2Fg%2F11mq5rbj6y"
"Cake Craft Shop","C - 167, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","098112 36567","http://www.cakecraftshop.in/","4.5","4","Baking supply store","Wednesday11 am–5 pm","","false","https://www.google.com/maps/place/Cake+Craft+Shop/@28.4596543,77.0411006,14z/data=!3m1!5s0x390d18c17342600b:0x19a1a317e8ae2163!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d18e7fe8929e1:0x26844de5d11ab021!8m2!3d28.457215!4d77.0800767!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSARNiYWtpbmdfc3VwcGx5X3N0b3Jl4AEA!16s%2Fg%2F1tfpn279"
"Magnolia Bakery","Ground floor, Unit No.8, Urban Complex, Godrej GCR Project, Sector 42, Gurugram, Haryana 122002","091487 37723","https://magnoliabakery.in/","3.5","3","Bakery and Cake Shop","Wednesday11:30 am–11:30 pmSuggest new hours","","false","https://www.google.com/maps/place/Magnolia+Bakery/@28.4596543,77.0411006,14z/data=!4m11!1m3!2m2!1ssearch+query+bakery+Gurgaon+sector+43!6e5!3m6!1s0x390d190025409445:0x7eb928c2b41f8a14!8m2!3d28.4601061!4d77.0969245!15sCiVzZWFyY2ggcXVlcnkgYmFrZXJ5IEd1cmdhb24gc2VjdG9yIDQzWiciJXNlYXJjaCBxdWVyeSBiYWtlcnkgZ3VyZ2FvbiBzZWN0b3IgNDOSAQZiYWtlcnngAQA!16s%2Fg%2F11ypny4tsy"
