name,address,phone,website,rating,reviewsCount,category,hours,reviews,isSponsored,url
"Symmetry Dental & Cosmetic Clinic Best Dental Clinic in Gurgaon |Dental Implant| Aligner |Braces | RCT | Dentist Near me |","Plot 1308, Sector 43 Service Rd, near Paras Hospital Road, opposite SHALOM HILLS INTERNATIONAL SCHOOL, Sector 43, Gurugram, Haryana 122009","081388 75753","https://symmetrydentals.com/","4.9","873","Dentist","Tuesday8 am–8 pmWednesday8 am–8 pmThursday8 am–8 pmFriday8 am–8 pmSaturday8 am–8 pmSunday8 am–2:30 pmMonday8 am–8 pm","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","false","https://www.google.com/maps/place/Symmetry+Dental+%26+Cosmetic+Clinic+Best+Dental+Clinic+in+Gurgaon+%7CDental+Implant%7C+Aligner+%7CBraces+%7C+RCT+%7C+Dentist+Near+me+%7C/@28.4451906,77.069635,14z/data=!4m11!1m3!2m2!1ssearch+query+dentist+Gurgaon+sector+43!6e1!3m6!1s0x390d194f0809cca1:0xd3625708381c7f5d!8m2!3d28.4485964!4d77.0824606!15sCiZzZWFyY2ggcXVlcnkgZGVudGlzdCBHdXJnYW9uIHNlY3RvciA0M1ooIiZzZWFyY2ggcXVlcnkgZGVudGlzdCBndXJnYW9uIHNlY3RvciA0M5IBDWRlbnRhbF9jbGluaWPgAQA!16s%2Fg%2F11h_bqr90x"
"My Dental Centre","567, Golf Course Rd, near Dell Technologies and Sector 42 & 43 Metro Station, Sector 43, Gurugram, Haryana 122009","073030 32455","https://mydentalcentre.in/","4.9","629","Dentist","Tuesday9 am–8 pmWednesday10 am–8 pmThursday10 am–8 pmFriday10 am–8 pmSaturday10 am–8 pmSunday10 am–5 pmMonday10 am–8 pm","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","false","https://www.google.com/maps/place/My+Dental+Centre/@28.4451906,77.069635,14z/data=!4m11!1m3!2m2!1ssearch+query+dentist+Gurgaon+sector+43!6e1!3m6!1s0x390d1928ff7f7281:0x2372e9d261701f64!8m2!3d28.4580495!4d77.0946896!15sCiZzZWFyY2ggcXVlcnkgZGVudGlzdCBHdXJnYW9uIHNlY3RvciA0M1ooIiZzZWFyY2ggcXVlcnkgZGVudGlzdCBndXJnYW9uIHNlY3RvciA0M5IBB2RlbnRpc3TgAQA!16s%2Fg%2F11kjygpmt_"
"Muskaan Dentals","C-1039, Near, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","094949 47304","https://muskaandentals.com/","4.8","640","Dental clinic","","[object Object],[object Object],[object Object]","false","https://www.google.com/maps/place/Dent+Ally/@28.4451906,77.069635,14z/data=!4m11!1m3!2m2!1ssearch+query+dentist+Gurgaon+sector+43!6e1!3m6!1s0x390d19274e20ec6f:0x35b11402fa7d59f6!8m2!3d28.4596153!4d77.0792383!15sCiZzZWFyY2ggcXVlcnkgZGVudGlzdCBHdXJnYW9uIHNlY3RvciA0M1ooIiZzZWFyY2ggcXVlcnkgZGVudGlzdCBndXJnYW9uIHNlY3RvciA0M5IBDWRlbnRhbF9jbGluaWPgAQA!16s%2Fg%2F11nx23wr9h"
"Dent Ally","C- 14, Sector 30 M Wide Main Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","092666 65081","https://dentally.in/best-dental-clinic-gurgaon/","4.9","101","Dental clinic","Tuesday10 am–8 pmWednesday10 am–8 pmThursday10 am–8 pmFriday10 am–8 pmSaturday10 am–8 pmSundayClosedMonday10 am–8 pmSuggest new hours","[object Object],[object Object],[object Object]","false","https://www.google.com/maps/place/EXL+Dentists+%7C+Best+Dentist+in+Gurgaon/@28.4451906,77.069635,14z/data=!4m11!1m3!2m2!1ssearch+query+dentist+Gurgaon+sector+43!6e1!3m6!1s0x390d19283826fe83:0xc0c63420d28052ea!8m2!3d28.460006!4d77.0873564!15sCiZzZWFyY2ggcXVlcnkgZGVudGlzdCBHdXJnYW9uIHNlY3RvciA0M1ooIiZzZWFyY2ggcXVlcnkgZGVudGlzdCBndXJnYW9uIHNlY3RvciA0M5IBB2RlbnRpc3TgAQA!16s%2Fg%2F11swv0vr4d"
"Radiance Dental Clinic Gurgaon","#C 410 AA, Sushant Lok 1 Rd, opposite Sanskriti Government School, Block C, Sector 43, Gurugram, Haryana 122009","099100 54385","https://radiancedental.co/","4.9","373","Dentist","Tuesday8 am–2 pmWednesday8 am–2 pmThursday8 am–2 pmFriday8 am–2 pmSaturday8 am–2 pmSundayClosedMonday8 am–2 pm","[object Object],[object Object],[object Object]","false","https://www.google.com/maps/place/Radiance+Dental+Clinic+Gurgaon/@28.4451906,77.069635,14z/data=!4m11!1m3!2m2!1ssearch+query+dentist+Gurgaon+sector+43!6e1!3m6!1s0x390d191e40000001:0x6b456b42db6300e0!8m2!3d28.456979!4d77.08474!15sCiZzZWFyY2ggcXVlcnkgZGVudGlzdCBHdXJnYW9uIHNlY3RvciA0M1ooIiZzZWFyY2ggcXVlcnkgZGVudGlzdCBndXJnYW9uIHNlY3RvciA0M5IBDWRlbnRhbF9jbGluaWPgAQA!16s%2Fg%2F1th61rs9"
"Modenta Dental Clinic","2772, St Thomas Marg, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","078376 74763","http://www.modenta.in/","5","203","Dentist","Tuesday10 am–8 pmWednesday10 am–8 pmThursday10 am–8 pmFriday10 am–8 pmSaturday10 am–8 pmSunday10 am–8 pmMonday10 am–8 pm","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","false","https://www.google.com/maps/place/Modenta+Dental+Clinic/@28.4451906,77.069635,14z/data=!3m1!5s0x390d18b8a8b6a53f:0x2b35882aef6ad748!4m11!1m3!2m2!1ssearch+query+dentist+Gurgaon+sector+43!6e1!3m6!1s0x390d19c3eb1996cf:0xa7f26db77eba2b6!8m2!3d28.4498785!4d77.0859437!15sCiZzZWFyY2ggcXVlcnkgZGVudGlzdCBHdXJnYW9uIHNlY3RvciA0M1ooIiZzZWFyY2ggcXVlcnkgZGVudGlzdCBndXJnYW9uIHNlY3RvciA0M5IBB2RlbnRpc3SaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjF3UjFsVlduQmlNR1JGVmxWTmQweFdhSGRrUlhONVZVZFNTbGx1WXhBQuABAPoBBQjtAhBF!16s%2Fg%2F11t47lgc_p"
"The Dental Home","1st floor, C-1067, near Vyapar Kendra Road, behind Mother Dairy, Block C2, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","092050 62248","https://thedentalhome.org/","4.9","103","Dental clinic","Tuesday10 am–8 pmWednesday10 am–8 pmThursday10 am–8 pmFriday10 am–8 pmSaturday10 am–8 pmSundayClosedMonday10 am–8 pmSuggest new hours","[object Object],[object Object],[object Object]","false","https://www.google.com/maps/place/Smileup+dentals/@28.4451906,77.069635,14z/data=!4m11!1m3!2m2!1ssearch+query+dentist+Gurgaon+sector+43!6e1!3m6!1s0x390d1969df03e237:0xf5470def5c964e6d!8m2!3d28.4579!4d77.0848722!15sCiZzZWFyY2ggcXVlcnkgZGVudGlzdCBHdXJnYW9uIHNlY3RvciA0M1ooIiZzZWFyY2ggcXVlcnkgZGVudGlzdCBndXJnYW9uIHNlY3RvciA0M5IBCGhvc3BpdGFsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVVJSYjBwbWNYSm5SUkFC4AEA-gEECAAQNA!16s%2Fg%2F11f6g1rzt6"
"Smileup dentals","844, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","098188 60010","","4.8","70","Hospital","Tuesday10 am–7:30 pmWednesday10 am–7:30 pmThursday10 am–7:30 pmFriday10 am–7:30 pmSaturday10 am–7:30 pmSunday10 am–7:30 pmMonday10 am–7:30 pmSuggest new hours","[object Object],[object Object],[object Object]","false","https://www.google.com/maps/place/Malhotra+Dental+Clinic/@28.4451906,77.069635,14z/data=!3m1!5s0x390d18c388ca484f:0xce3c2ab0a6c043c0!4m11!1m3!2m2!1ssearch+query+dentist+Gurgaon+sector+43!6e1!3m6!1s0x390d19de60dcb64b:0x576e98288aef5a86!8m2!3d28.4531065!4d77.0809289!15sCiZzZWFyY2ggcXVlcnkgZGVudGlzdCBHdXJnYW9uIHNlY3RvciA0M1ooIiZzZWFyY2ggcXVlcnkgZGVudGlzdCBndXJnYW9uIHNlY3RvciA0M5IBDWRlbnRhbF9jbGluaWOaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTjFkazFEVlRWQlJSQULgAQD6AQQILxAy!16s%2Fg%2F11hpc1s9bd"
"Malhotra Dental Clinic","C-301/C, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","098108 57171","","4.7","26","Dental clinic","","[object Object],[object Object],[object Object]","false","https://www.google.com/maps/place/Dr.+Chopra%E2%80%99s+Dental+White/@28.4451906,77.069635,14z/data=!4m11!1m3!2m2!1ssearch+query+dentist+Gurgaon+sector+43!6e1!3m6!1s0x390d1969bc13e659:0x87e4a8b65db08f46!8m2!3d28.4596093!4d77.0846624!15sCiZzZWFyY2ggcXVlcnkgZGVudGlzdCBHdXJnYW9uIHNlY3RvciA0M1ooIiZzZWFyY2ggcXVlcnkgZGVudGlzdCBndXJnYW9uIHNlY3RvciA0M5IBDWRlbnRhbF9jbGluaWPgAQA!16s%2Fg%2F11fmrqb_3j"
"Dr. Chopra’s Dental White","1046, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","096506 91248","","5","168","Dental clinic","Tuesday9 am–8 pmWednesday9 am–8 pmThursday9 am–8 pmFriday9 am–8 pmSaturday10 am–8 pmSundayClosedMonday9 am–8 pmSuggest new hours","[object Object],[object Object],[object Object]","false","https://www.google.com/maps/place/%F0%9D%97%9B%F0%9D%97%A2%F0%9D%97%9F%F0%9D%97%9C%F0%9D%97%A6%F0%9D%97%A7%F0%9D%97%9C%F0%9D%97%96+%F0%9D%97%97%F0%9D%97%98%F0%9D%97%A1%F0%9D%97%A7%F0%9D%97%94%F0%9D%97%9F+-+%F0%9D%97%97%F0%9D%97%A5+%F0%9D%97%94%F0%9D%97%A1%F0%9D%97%A8+%F0%9D%97%A5%F0%9D%97%94%F0%9D%97%A7%F0%9D%97%9B%F0%9D%97%9C+-+%F0%9D%97%97%F0%9D%97%98%F0%9D%97%A1%F0%9D%97%A7%F0%9D%97%9C%F0%9D%97%A6%F0%9D%97%A7+%F0%9D%97%A1%F0%9D%97%98%F0%9D%97%94%F0%9D%97%A5+%F0%9D%97%A0%F0%9D%97%98+%F0%9D%97%9A%F0%9D%97%A8%F0%9D%97%A5%F0%9D%97%A8%F0%9D%97%9A%F0%9D%97%A5%F0%9D%97%94%F0%9D%97%A0+-+%F0%9D%97%97%F0%9D%97%98%F0%9D%97%A1%F0%9D%97%A7%F0%9D%97%94%F0%9D%97%9F+%F0%9D%97%96%F0%9D%97%9F%F0%9D%97%9C%F0%9D%97%A1%F0%9D%97%9C%F0%9D%97%96+%F0%9D%97%9C%F0%9D%97%A1+%F0%9D%97%9A%F0%9D%97%A8%F0%9D%97%A5%F0%9D%97%9A%F0%9D%97%94%F0%9D%97%A2%F0%9D%97%A1/@28.4451906,77.069635,14z/data=!4m11!1m3!2m2!1ssearch+query+dentist+Gurgaon+sector+43!6e1!3m6!1s0x390d19dce9e12c43:0x50703ebf6d63f785!8m2!3d28.4625472!4d77.0873569!15sCiZzZWFyY2ggcXVlcnkgZGVudGlzdCBHdXJnYW9uIHNlY3RvciA0M1ooIiZzZWFyY2ggcXVlcnkgZGVudGlzdCBndXJnYW9uIHNlY3RvciA0M5IBDWRlbnRhbF9jbGluaWPgAQA!16s%2Fg%2F11y99bpwd2"
"𝗛𝗢𝗟𝗜𝗦𝗧𝗜𝗖 𝗗𝗘𝗡𝗧𝗔𝗟 - 𝗗𝗥 𝗔𝗡𝗨 𝗥𝗔𝗧𝗛𝗜 - 𝗗𝗘𝗡𝗧𝗜𝗦𝗧 𝗡𝗘𝗔𝗥 𝗠𝗘 𝗚𝗨𝗥𝗨𝗚𝗥𝗔𝗠 - 𝗗𝗘𝗡𝗧𝗔𝗟 𝗖𝗟𝗜𝗡𝗜𝗖 𝗜𝗡 𝗚𝗨𝗥𝗚𝗔𝗢𝗡","SUPERMART I, A 241, Supermart-1, DLF Phase IV, Sector 43, Gurugram, Haryana 122009","077888 64446","https://www.theholisticdental.com/","5","574","Dental clinic","Tuesday10 am–9 pmWednesday10 am–9 pmThursday10 am–9 pmFriday10 am–9 pmSaturday10 am–9 pmSunday10 am–9 pmMonday10 am–9 pmSuggest new hours","[object Object],[object Object],[object Object]","false","https://www.google.com/maps/place/IdentityPlus+Dental+%E2%80%93+Drill-Free,+Cosmetic,Laser+%26+implant+Dentistry+%7C+Dr+Sharad+K+Gupta/@28.4451906,77.069635,14z/data=!4m11!1m3!2m2!1ssearch+query+dentist+Gurgaon+sector+43!6e1!3m6!1s0x390d18cf1ce7781d:0xae614169b6b79aab!8m2!3d28.4561726!4d77.0945395!15sCiZzZWFyY2ggcXVlcnkgZGVudGlzdCBHdXJnYW9uIHNlY3RvciA0M1ooIiZzZWFyY2ggcXVlcnkgZGVudGlzdCBndXJnYW9uIHNlY3RvciA0M5IBDWRlbnRhbF9jbGluaWOaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjFzY1ZWcVdtMVRhMnQwWlVac1Ixa3hSbWxTYW14MldsVkdkVlpXUlJBQuABAPoBBAgAEC0!16s%2Fg%2F11cjp9fr81"
"IdentityPlus Dental – Drill-Free, Cosmetic,Laser & implant Dentistry | Dr Sharad K Gupta","House No ; 496, near Galaxy Apartments, DLF Phase 5, Sector 43, Gurugram, Haryana 122009","098991 56544","http://www.identityplus.in/","4.9","128","Dental clinic","Tuesday11 am–7 pmWednesday11 am–7 pmThursday11 am–7 pmFriday11 am–7 pmSaturday11 am–7 pmSundayClosedMonday11 am–7 pmSuggest new hours","[object Object],[object Object],[object Object]","false","https://www.google.com/maps/place/The+Dent+Care+Dental+Clinic/@28.4451906,77.069635,14z/data=!4m11!1m3!2m2!1ssearch+query+dentist+Gurgaon+sector+43!6e1!3m6!1s0x390d1fc8fddc5d75:0xc0a8850d308dfcd4!8m2!3d28.4620146!4d77.0962706!15sCiZzZWFyY2ggcXVlcnkgZGVudGlzdCBHdXJnYW9uIHNlY3RvciA0M1ooIiZzZWFyY2ggcXVlcnkgZGVudGlzdCBndXJnYW9uIHNlY3RvciA0M5IBDWRlbnRhbF9jbGluaWPgAQA!16s%2Fg%2F11g_z4d2wt"
