name,address,phone,website,rating,reviewsCount,category,hours,reviews,isSponsored,url
"Search My Property","First floor, Plot No 88d Saraswati Kunj, Golf Course Rd, above Mahindra Dee Em, Sector 53, Gurugram, Haryana 122011","083760 03003","http://searchmyproperty.com/","4.8","4","Real estate consultant","","","false","https://www.google.com/maps/place/Search+My+Property/@28.4514856,77.0567599,14z/data=!4m10!1m2!2m1!1ssearch+query+Real+Estate+Gurgaon+sector+43!3m6!1s0x390d19a7a4bb16e7:0x981d638cca69806d!8m2!3d28.4383098!4d77.1028246!15sCipzZWFyY2ggcXVlcnkgUmVhbCBFc3RhdGUgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IHJlYWwgZXN0YXRlIGd1cmdhb24gc2VjdG9yIDQzkgEWcmVhbF9lc3RhdGVfY29uc3VsdGFudOABAA!16s%2Fg%2F11q9bs1ygj"
"Golf Course Property : Property Dealer sector 43 Gurgaon","Basement, Plot no 882, Golf Crse Rd, Sector 43, Gurugram, Haryana 122009","098917 07020","","5","5","Real estate consultant","TuesdayOpen 24 hoursSuggest new hours","","false","https://www.google.com/maps/place/Golf+Course+Property+:+Property+Dealer+sector+43+Gurgaon/@28.4514856,77.0567599,14z/data=!4m10!1m2!2m1!1ssearch+query+Real+Estate+Gurgaon+sector+43!3m6!1s0x390d196c674055e9:0xcf924cf292b311f6!8m2!3d28.4543765!4d77.0948645!15sCipzZWFyY2ggcXVlcnkgUmVhbCBFc3RhdGUgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IHJlYWwgZXN0YXRlIGd1cmdhb24gc2VjdG9yIDQzkgEWcmVhbF9lc3RhdGVfY29uc3VsdGFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVOSk16bE1YMDFSRUFF4AEA-gEECAAQPQ!16s%2Fg%2F11x5lbrhkx"
"Arora Realtech Pvt Ltd","C-1069, opposite Vypar Kender, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","098115 86101","http://www.arorarealtech.com/","5","5","Real estate consultant","Tuesday9 am–6 pm","","false","https://www.google.com/maps/place/Arora+Realtech+Pvt+Ltd/@28.4514856,77.0567599,14z/data=!4m10!1m2!2m1!1ssearch+query+Real+Estate+Gurgaon+sector+43!3m6!1s0x390d18c35a5291c5:0x3f9f69280634fa4b!8m2!3d28.4602983!4d77.0846711!15sCipzZWFyY2ggcXVlcnkgUmVhbCBFc3RhdGUgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IHJlYWwgZXN0YXRlIGd1cmdhb24gc2VjdG9yIDQzkgEWcmVhbF9lc3RhdGVfY29uc3VsdGFudOABAA!16s%2Fg%2F1tg7qddj"
"Godrej Miraya Sector 43 Gurgaon","Ground Floor, Sushant 74, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122002","063665 61827","https://www.godrejproperties.com/gurugram/residential/godrej-miraya","4.5","4","Condominium complex","Tuesday10 am–7 pmSuggest new hours","","false","https://www.google.com/maps/place/Godrej+Miraya+Sector+43+Gurgaon/@28.4514856,77.0567599,14z/data=!4m10!1m2!2m1!1ssearch+query+Real+Estate+Gurgaon+sector+43!3m6!1s0x390d190049b21291:0xae19a98a85dc4ed8!8m2!3d28.449921!4d77.0881623!15sCipzZWFyY2ggcXVlcnkgUmVhbCBFc3RhdGUgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IHJlYWwgZXN0YXRlIGd1cmdhb24gc2VjdG9yIDQzkgETY29uZG9taW5pdW1fY29tcGxleJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSdWRuRnlTMFIzRUFF4AEA-gEECAAQTA!16s%2Fg%2F11ln_zztt9"
"360 REALTORS LLP","Global Foyer, Global Foyer Mall, 201A-201C, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","0124 426 0360","https://www.360realtors.com/","3.6","3","Real estate agency","Tuesday9:30 am–7 pmSuggest new hours","","false","https://www.google.com/maps/place/360+REALTORS+LLP/@28.4514856,77.0567599,14z/data=!4m10!1m2!2m1!1ssearch+query+Real+Estate+Gurgaon+sector+43!3m6!1s0x390d18ce436dc72f:0xfa1d3587e5b7da38!8m2!3d28.4606042!4d77.0949158!15sCipzZWFyY2ggcXVlcnkgUmVhbCBFc3RhdGUgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IHJlYWwgZXN0YXRlIGd1cmdhb24gc2VjdG9yIDQzkgEScmVhbF9lc3RhdGVfYWdlbmN54AEA!16s%2Fg%2F11gglpk5rg"
"Guruji Property Gurugram","SHOP-54, MKM Market Rd, Block G, Sushant Lok 2, Sector 57, Gurugram, Haryana 122011","084471 95227","","4.9","4","Real estate consultant","Tuesday9 am–9 pm","","false","https://www.google.com/maps/place/Guruji+Property+Gurugram/@28.4514856,77.0567599,14z/data=!4m10!1m2!2m1!1ssearch+query+Real+Estate+Gurgaon+sector+43!3m6!1s0x390d23ec2da968eb:0xf4a2974ab9f9fd69!8m2!3d28.4246921!4d77.0879731!15sCipzZWFyY2ggcXVlcnkgUmVhbCBFc3RhdGUgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IHJlYWwgZXN0YXRlIGd1cmdhb24gc2VjdG9yIDQzkgEWcmVhbF9lc3RhdGVfY29uc3VsdGFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOMmFIUnlVM1ozUlJBQuABAPoBBAgAEEs!16s%2Fg%2F11rhrgkvjm"
"ICONIC REALTY - Verified Property Consultant in Gurgaon","C-526, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","098104 46667","http://www.iconicrealty.co/","4.6","4","Real estate agent","Tuesday10 am–6 pmSuggest new hours","","false","https://www.google.com/maps/place/ICONIC+REALTY+-+Verified+Property+Consultant+in+Gurgaon/@28.4514856,77.0567599,14z/data=!4m10!1m2!2m1!1ssearch+query+Real+Estate+Gurgaon+sector+43!3m6!1s0x390d19ce5669114b:0x3b9aeeb9b8b34f64!8m2!3d28.4564873!4d77.0802981!15sCipzZWFyY2ggcXVlcnkgUmVhbCBFc3RhdGUgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IHJlYWwgZXN0YXRlIGd1cmdhb24gc2VjdG9yIDQzkgEScmVhbF9lc3RhdGVfYWdlbnRzmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1T1psa3dSbTVTTVZwS1lVVXhjVlZ0U210aGJVcENWRlpTZGxkdFl4QULgAQD6AQUIpAEQOQ!16s%2Fg%2F11j8vtphkm"
"Actual Property Solutions Pvt. Ltd.","F-35, First Floor, Baani The Address One, Golf Course Rd, Sector 56, Gurugram, Ghata, Haryana 122011","095604 95292","https://aps.ind.in/","4.9","4","Real estate consultant","Tuesday10 am–7 pm","","false","https://www.google.com/maps/place/Actual+Property+Solutions+Pvt.+Ltd./@28.4514856,77.0567599,14z/data=!4m10!1m2!2m1!1ssearch+query+Real+Estate+Gurgaon+sector+43!3m6!1s0x390d23ca9fe6b8a5:0x70a2ee499ae3bd6d!8m2!3d28.4216553!4d77.1042435!15sCipzZWFyY2ggcXVlcnkgUmVhbCBFc3RhdGUgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IHJlYWwgZXN0YXRlIGd1cmdhb24gc2VjdG9yIDQzkgEWcmVhbF9lc3RhdGVfY29uc3VsdGFudOABAA!16s%2Fg%2F11m44r4jvr"
"Malik Properties","D, Sushant Shopping Arcade, 109, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","088825 72540","https://malikpropertiess.com/","4.5","4","Real estate agent","TuesdayOpen 24 hours","","false","https://www.google.com/maps/place/Malik+Properties/@28.4514856,77.0567599,14z/data=!3m1!5s0x390d189aac000bf5:0x213e7fe8c610d583!4m10!1m2!2m1!1ssearch+query+Real+Estate+Gurgaon+sector+43!3m6!1s0x8661ed38651e35b3:0xf8c1321286bb9b40!8m2!3d28.4604052!4d77.0790057!15sCipzZWFyY2ggcXVlcnkgUmVhbCBFc3RhdGUgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IHJlYWwgZXN0YXRlIGd1cmdhb24gc2VjdG9yIDQzkgEScmVhbF9lc3RhdGVfYWdlbnRz4AEA!16s%2Fg%2F11v5gg_b52"
"Safekey Castle Pvt. Ltd.","C 1033 GF, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","097100 00996","https://safekeyscastles.in/","5","5","Real estate agency","Tuesday10:30 am–7:30 pm","","false","https://www.google.com/maps/place/Safekey+Castle+Pvt.+Ltd./@28.4514856,77.0567599,14z/data=!4m10!1m2!2m1!1ssearch+query+Real+Estate+Gurgaon+sector+43!3m6!1s0x390d19a14fc7db4d:0xa31b8483d400e0ef!8m2!3d28.4591317!4d77.084016!15sCipzZWFyY2ggcXVlcnkgUmVhbCBFc3RhdGUgR3VyZ2FvbiBzZWN0b3IgNDNaLCIqc2VhcmNoIHF1ZXJ5IHJlYWwgZXN0YXRlIGd1cmdhb24gc2VjdG9yIDQzkgEScmVhbF9lc3RhdGVfYWdlbmN5mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU55TkZwUU9YcG5SUkFC4AEA-gEECF4QNg!16s%2Fg%2F11nm_sxd5b"
