name,address,phone,website,rating,reviewsCount,category,hours,reviews
"Unico","Ground Floor, Global Foyer Mall, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","092664 00540","https://unico.restaurant/","4.7","4","Restaurant","Monday12–11 pmSuggest new hours",""
"Sticky Rice","584 - P, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","099115 60115","http://www.stickyrice.in/","4.4","4","Asian restaurant","Monday12–11 pm",""
"Sticky Rice","584 - P, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","099115 60115","http://www.stickyrice.in/","4.4","4","Asian restaurant","Monday12–11 pmSuggest new hours",""
"Cafe AURIKA | Garden cafe","C - 14, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","088260 02788","","4.2","4","Cafe","Monday8 am–12 amSuggest new hours",""
"Vicoli","Global Foyer Mall, Sector 43, Gurugram, Haryana 122009","","https://vicoli.in/#","4.5","4","European restaurant","Monday12 pm–1 amSuggest new hours",""
"Romi da Dhaba","Shop No. 177, Ground Floor, Vyapar Kendra Rd, Sushant Lok Phase I, Gurugram, Haryana 122009","098111 44161","https://magicpin.in/Gurgaon/Dlf-Phase-4/Restaurant/Romi-Da-Dhaba/store/393/?utm_source=gbp","3.9","3","North Indian restaurant","Monday11:30 am–11 pmSuggest new hours",""
"Japonico","Second Floor, Tower D, Vipul Tech Square, Golf Course Rd, near Sector 42-43, Sector 43, Gurugram, Haryana 122009","099480 00039","https://www.instagram.com/japonico.ggn?igsh=YXZ2dnNraHFuYW8x","4.2","4","Japanese restaurant","Monday12–4 pm7 pm–1 amSuggest new hours",""
"Housewives kitchen","Building 3, 2, C-Block, Shree Ram Complex, above Nirulas, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122001","096540 03419","","4.6","4","Restaurant supply store","",""
"Housewives kitchen","Building 3, 2, C-Block, Shree Ram Complex, above Nirulas, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122001","096540 03419","","4.6","4","Restaurant supply store","",""
"BEGETERRE - A MUSEUM THEMED RESTAURANT","Ground Floor, G-02, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","092665 11779","https://www.instagram.com/begeterreindia/","4.5","4","Restaurant","Monday8 am–12 amSuggest new hours",""
"Claypot Kitchens","SCO-23, Housing Board Shopping Complex, opposite Maruti Vihar Exit Gate Road, near Mehrauli-Gurgaon Road, Saraswati Vihar, Chakkarpur, Gurugram, Haryana 122002","093112 12800","","4.9","4","North Indian restaurant","",""
"Cosy Box","Ground Floor, Golf Course Rd, Harizan Colony, DLF Phase 5, Sector 43, Gurugram, Haryana 122009","097089 39495","https://cosybox.in/","4.4","4","Mediterranean restaurant","Monday12 pm–12 amSuggest new hours",""
"Kogai- Fine Japanese Dining","Ground Floor, Global Foyer Mall, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","088264 19388","","4.8","4","Restaurant","Monday12–3 pm5:30–10:30 pmSuggest new hours",""
"Momo Cafe","Courtyard By Marriott 27 B Block Drive Sushant Lok Phase I Sector 27, Gurugram, Haryana 122009","0124 488 8444","","4.3","4","Restaurant","Monday9 am–11 pmSuggest new hours",""
"Carnatic Cafe","HQ 27, SECTOR 27, Sector 43, Gurugram, Haryana 122009","098710 83530","https://www.instagram.com/carnaticcafeindia/","4.6","4","Restaurant","Monday9 am–10:30 pmSuggest new hours",""
"Sidewok Restaurant","Ground Floor, DLF Phase V, Golf Course Rd, Sector 54, Gurugram, Haryana 122009","0124 438 6133","http://www.sidewok.in/","4.4","4","Pan-Asian restaurant","Monday12–11:30 pmSuggest new hours",""
"Another Fine Day Cafe & Reading Room","Ground Floor, Golf Course Rd, DLF Phase 5, Sector 43, Gurugram, Haryana 122009","0124 438 6155","http://www.anotherfineday.net/","4.4","4","Cafe","Monday10 am–10 pmSuggest new hours",""
"Beekend","First Floor-07, ROF Portico, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122003","085275 71005","https://www.instagram.com/bbeekend/","4.6","4","Cafe","Monday10 am–10 pmSuggest new hours",""
"Kalaunji - Traditionally Indian","609 P , Golf Course Road, Road, beside Bloom Hotel Golf Cours, Sector 43, Gurugram, Haryana 122009","088516 78009","","4.2","4","North Indian restaurant","Monday12–11 pmSuggest new hours",""
"Chinese Corner","G-147, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","096502 08174","","4","4","Chinese restaurant","Monday11 am–11 pmSuggest new hours",""
"One8 Commune - Golf Course Road","Unit No. 4 Ground Floor, The Statement Baani, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","072830 00018","https://one8commune.co.in/","4.2","4","Restaurant","Monday12:30 pm–12 amSuggest new hours",""
"Kansi","E- 33, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","098540 83083","","4.4","4","Restaurant","",""
"Kalaunji - Traditionally Indian","609 P , Golf Course Road, Road, beside Bloom Hotel Golf Cours, Sector 43, Gurugram, Haryana 122009","088516 78009","","4.2","4","North Indian restaurant","Monday12–11 pmSuggest new hours",""
"Parat","LGF, Sushant shopping arcade, D- 003, B Block Dr, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","074017 40128","","4.3","4","Indian restaurant","",""
"KUURAKU","15, Global Foyer, Global Foyer Mall, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","098180 55080","https://kuuraku.in/","4.5","4","Japanese restaurant","",""
"Kitchen District","Find Dining food avenue, Hyatt Regency, 1st Floor, Sector 83, Gurugram, Haryana 122012","0124 502 1234","https://www.hyattrestaurants.com/en/gurugram/restaurant/kitchen-district","4","4","Buffet restaurant","Monday6:30 am–11:30 pmSuggest new hours",""
"Hahn's Kitchen","SN T1/101, 1st Flr, One Horizon Centre, Golf Course Rd, Harizan Colony, Sector 43, Gurugram, Haryana 122009","0124 408 5334","https://stores.lbf.co.in/store-pages/hahns-kitchen-one-horizon-centre-gurugram-gurgaon","4.4","4","Korean restaurant","Monday11:30 am–11 pmSuggest new hours",""
"One8 Commune - Golf Course Road","Unit No. 4 Ground Floor, The Statement Baani, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","072830 00018","https://one8commune.co.in/","4.2","4","Restaurant","Monday12:30 pm–12 amSuggest new hours",""
"Garden Grub Cafe","B-711, 4th Floor, opposite Huda City Centre, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","","","3.7","3","Cafe","Monday6 am–11 pmSuggest new hours",""
"Two Meaters Apart","G-9, Sushant shopping arcade, Sushant Lok Phase I, Gurugram, Haryana 122009","099998 55410","","4.3","4","Hamburger restaurant","Monday12 pm–4 amSuggest new hours",""
"Karim's Mughal Palace","Ground Floor Shop, Global Foyer Mall, 4, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","0124 411 6222","","3.8","3","Mughlai restaurant","",""
"COVAH The Cavern","Unit 03, F33W+PJW The Statement Baani, Sector 43, Gurugram, Haryana 122009","092664 50404","http://www.covahindia.com/","4","4","Bar","Monday12 pm–1 amSuggest new hours",""
"Grubsoul Seafoods","Plot No 12, Golf Course Rd, Sarswati Kunj II, Suncity, Sector 54, Gurugram, Haryana 122011","092899 04406","https://grubsoul.com/","4.5","4","Seafood restaurant","Monday12–11 pmSuggest new hours",""
"Whisky Samba | Best Bar & Restaurant in Gurugram","Shop No. 103,104 Two Horizon Center, DLF Phase 5, Sector 43, Gurugram, Haryana 122009","095605 65959","https://whiskysamba.co.in/","4.3","4","Bar & grill","Monday12 pm–2 amSuggest new hours",""
"1900 AD A Kitchen Love Story","Block B, Sector 43, Gurugram, Haryana 122009","090157 03000","","4.5","4","Biryani restaurant","Monday7 am–12 amSuggest new hours",""
"Sambar Ritual","The Boulevard at Magnum Global Park, Sector 58, Gurugram, Haryana 122098","","https://sambarritual.com/","4.9","4","South Indian restaurant","Monday9 am–11 pmSuggest new hours",""
"Chaayos Cafe at ROF Portico","1540, 1548, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","081308 55583","https://www.chaayos.com/","4.4","4","Cafe","Monday8 am–11 pmSuggest new hours",""
"Lord of the Juices","Shop no, 37, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","099969 12135","","4.3","4","Fast food restaurant","Monday9 am–11 pmSuggest new hours",""
"Jalsa Restaurant","F-11/9, Golf Course Road, गोल्फ कोर्स मार्ग, opp. Arjun Marg, DLF Phase 1, Sector 27, Gurugram, Haryana 122009","0124 425 7952","","4","4","Tibetan restaurant","Monday11 am–12 amSuggest new hours",""
"Manhattan Bar & Brewery","1st Floor Global Foyer Mall Unit 001, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","088006 97549","http://manhattanbrewery2013.in/","4.4","4","Brewpub","Monday1 pm–1 amSuggest new hours",""
"Kole - The North Indian Restaurant","B-214, Supermart-1, DLF Phase IV, Gurugram, Haryana 122009","070424 29748","https://kolerestaurant.com/","4.8","4","North Indian restaurant","Monday11:30 am–11:30 pmSuggest new hours",""
"Comorin","101, First Floor, Two Horizon Center, DLF Phase 5, Sector 43, Gurugram, Haryana 122009","0124 498 4224","","4.5","4","Modern Indian restaurant","Monday12 pm–12 amSuggest new hours",""
"OMO : Soul Food Community","OMO, R-004, 2nd Floor, DLF, Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","089290 93537","https://omosoulfood.com/","4.2","4","Vegetarian restaurant","Monday10 am–11 pmSuggest new hours",""
"Almadhaq","G-79/80, Pocket C, Mayfield Garden, Baani, squire, Gurugram, Haryana 122018","093190 95303","","4.6","4","Lebanese restaurant","Monday11 am–12 amSuggest new hours",""
"threesixtyone°","The Oberoi, Gurgaon, 443, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016","0124 245 1234","https://www.oberoihotels.com/hotels-in-gurgaon/dining/threesixtyone/?utm_source=GMBlisting&utm_medium=organic","4.7","4","Coffee shop","Monday9 am–11 pmSuggest new hours",""
"The Barbeque Company","Sco - 305, Block C, South City I, Sector 29, Gurugram, Haryana 122009","084485 43002","https://www.barbequenation.com/","4.2","4","Barbecue restaurant","Monday12–11:30 pmSuggest new hours",""
"Cilantro","443, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016","0124 245 0505","http://www.tridenthotels.com/hotels-in-gurgaon/restaurant-in-gurgaon/dining-cilantro","4.5","4","Fine dining restaurant","Monday7 am–11 pmSuggest new hours",""
"Getafix Cafe","Shop No. 15, Ground Floor, Crosspoint Mall, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","097738 74737","","4.3","4","Health food restaurant","Monday9 am–11 pmSuggest new hours",""
"Bloom Hotel - Golf Course Road, Sector 43","584, Golf Course Rd, near SYS Developers, Sector 43, Gurugram, Haryana 122009","0124 411 4420","https://staybloom.com/hotels/gurugram/bloom-hotel-sector-43","4.9","4","","",""
"So Tammy's | Galleria Market","First Floor, SF 24, Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","099711 56744","","4.7","4","Mexican restaurant","Monday12 pm–12 amSuggest new hours",""
"Cena Pranzo","Grand Hyatt, Cena Pranzo, Golf Course Rd, Sector 58, Gurugram, Haryana 122098","088000 21048","https://www.hyattrestaurants.com/en/gurugram/restaurant/cena-pranzo-italian-trattoria-grand-hyatt-gurgaon?src=GMB","4.7","4","Italian restaurant","",""
"Mustard Madras - Sector 29, Gurgaon","Second Floor, 344-P, above Dasaprakash Restaurant, Sector 29, Gurugram, Haryana 122009","097739 94881","https://mustardmadras.com/","4.7","4","South Indian restaurant","Monday11 am–11 pmSuggest new hours",""
"The Kitchens","Global Gateway Towers, Mehrauli-Gurgaon Rd, Sikanderpur, Sector 26, Gurugram, Haryana 122002","","","4.6","4","Restaurant","Monday9 am–12 amSuggest new hours",""
"Haldiram's - Gurugram Sector 29","Shop No. 316, near to Rana Motors, Huda Market, Sector 29, Gurugram, Haryana 122009","08071 890 240","https://hrstores.haldiram.com/haldiram-s-gurugram-sector-29-restaurants-sector-29-gurugram-394796/Home?utm_source=locator&utm_medium=googleplaces","4.2","4","Restaurant","",""
"Cactus lily","SF- 52, First Floor, DLF Galleria Rd, Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","092055 54854","","4.4","4","Sandwich shop","Monday11 am–11 pmSuggest new hours",""
"Under The Neem","Karma Lakelands, Sector 80, Gurugram, Haryana 122012","096252 91720","https://karmachalets.co.in/under-the-neem","4.4","4","Restaurant","",""
"ROF PORTICO","I, Vyapar Kendra Rd, Sushant Lok, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","099990 36154","","4.3","4","Shopping mall","Monday9 am–10 pmSuggest new hours",""
"Kaansa - Crowne Plaza, Gurugram","Hotel Crowne Plaza, Kaansa, Sector 29, Haryana 122009","088606 26055","https://www.ihg.com/crowneplaza/hotels/us/en/gurgaon/ndegg/hoteldetail","4.7","4","Modern Indian restaurant","",""
"Alwar Sweets & Namkeen","Shop No.GF-40, opposite Mother Dairy, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","0124 238 5031","","3.8","3","Indian sweets shop","Monday9 am–10 pmSuggest new hours",""
"Bhai ji shawarma","shop no, 3, Golf Course Rd, near American Express Drive, DLF Phase 5, Sector 54, Gurugram, Haryana 122009","","","4.1","4","Shawarma restaurant","MondayOpen 24 hoursSuggest new hours",""
"OJU by Neuma","Ground Floor, The Anya Hotel, Golf Course Rd, DLF Phase 5, Sector 43, Gurugram, Haryana 122002","085950 44646","https://neumarestaurant.com/","4","4","Restaurant","Monday12:30–3:30 pm7 pm–1 amSuggest new hours",""
"Grotto - Pizzeria|Coffee Shop","SF - 090, First floor, Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","099109 08290","https://grottopizzeria.in/","4.8","4","Italian restaurant","Monday12 pm–12 amSuggest new hours",""
"The Ladakhi Kitchen","A-218, Supermart-1, DLF Phase IV, Gurugram, Haryana 122009","088266 48467","","4","4","Chinese restaurant","Monday1–11:30 pmSuggest new hours",""
"Downtown Kitchen & Bar","Courtyard By Marriott, 27, B Block Dr, Sushant Lok Phase I, Sector 27, Gurugram, Haryana 122009","","","3.4","3","Buffet restaurant","Monday6:30 am–11 pmSuggest new hours",""
"Paratha junction","713, Sector 30 M Wide Main Rd, Sushant Lok Phase I, Sector 27, Gurugram, Haryana 122009","","","4.4","4","North Indian restaurant","Monday10 pm–5 amSuggest new hours",""
"The Joint Cafe","Shop No. 100, 1st Floor, Complex, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","095999 92444","https://www.instagram.com/jointcafegurgaon/?hl=en","4.4","4","Cafe","",""
"Zambar","Shop 310, Third Floor, Ambience Mall, Golf Dr, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010","099585 64400","https://stores.lbf.co.in/store-pages/zambar-ambience-mall-gurugram-gurugram/","4.6","4","Indian restaurant","Monday12–11:30 pmSuggest new hours",""
"The Pasta Bowl Company","2nd Floor, Crosspoint Mall, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","","http://www.thepastabowlcompany.com/","4.4","4","Italian restaurant","Monday10:30 am–11:30 pmSuggest new hours",""
"Veer Da Chappar","metro pillar no 19, Shop no 2 , 1st floor, Mehrauli-Gurgaon Rd, opposite rapid, near City court, Sikanderpur, Gurugram, Haryana 122002","097738 80222","https://veerdachappar.com/","4.6","4","Family restaurant","Monday12–6 am12 pm–12 am",""
"Veer Da Chappar","metro pillar no 19, Shop no 2 , 1st floor, Mehrauli-Gurgaon Rd, opposite rapid, near City court, Sikanderpur, Gurugram, Haryana 122002","097738 80222","https://veerdachappar.com/","4.6","4","Family restaurant","Monday12–6 am12 pm–12 amSuggest new hours",""
"Bhai ji","F34W+H9H, Sector 42, Gurugram, Haryana 122009","","","3.5","3","Park","",""
"Lost Lemons","SCO 27 and 28, Sector 29, Gurugram, Haryana 122009","","","4.1","4","Gastropub","Monday12–4 am3 pm–12 am",""
"Lost Lemons","SCO 27 and 28, Sector 29, Gurugram, Haryana 122009","","","4.1","4","Gastropub","Monday12–4 am3 pm–12 amSuggest new hours",""
"Houz Of Play HOP","C-1001, near Vyapar Kendra Road, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","098914 74447","","4.7","4","Children's amusement center","Monday1:30–8:30 pmSuggest new hours",""
"Sugar Swap - Deliciously Keto","C-432, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","098995 95044","https://sugarswap.in/","4.7","4","Health food store","Monday10 am–10 pm",""
"Atmanam","first floor, AIPL Joy Central, 67-70, Sector 65, Gurugram, Haryana 122002","092206 02024","","4.7","4","South Indian restaurant","Monday10 am–10 pm",""
"Atmanam","first floor, AIPL Joy Central, 67-70, Sector 65, Gurugram, Haryana 122002","092206 02024","","4.7","4","South Indian restaurant","Monday10 am–10 pm",""
