name,address,phone,website,rating,reviewsCount,category,hours,reviews,isSponsored,url
"Godrej Miraya Sector 43 Gurgaon","Ground Floor, Sushant 74, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122002","063665 61827","https://www.godrejproperties.com/gurugram/residential/godrej-miraya","4.5","4","Condominium complex","Wednesday10 am–7 pm","","false","https://www.google.com/maps/place/Godrej+Miraya+Sector+43+Gurgaon/@28.4562532,77.0821269,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d190049b21291:0xae19a98a85dc4ed8!8m2!3d28.449921!4d77.0881623!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgETY29uZG9taW5pdW1fY29tcGxleJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSdWRuRnlTMFIzRUFF4AEA-gEECAAQTA!16s%2Fg%2F11ln_zztt9"
"Builder floor in DLF","C-854, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","098111 67989","https://www.builderfloorgurgaon.in/blog/dlf-floors-gurgaon-the-epitome-of-luxury-living.php","4.8","4","Real estate consultant","Wednesday8 am–10 pm","","false","https://www.google.com/maps/place/Builder+floor+in+DLF/@28.4562532,77.0821269,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d191e40000001:0xb7f9ab2aad1ee5a9!8m2!3d28.458664!4d77.0845884!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEWcmVhbF9lc3RhdGVfY29uc3VsdGFudOABAA!16s%2Fg%2F1tjz6bct"
"Hines India Real Estate Private Limited","12th Floor, One Horizon Center, Golf Course Rd, Harizan Colony, Sector 43, Gurugram, Haryana 122009","0124 480 2222","https://www.hines.com/","4.3","4","Real estate developer","Wednesday9:30 am–6:30 pm","","false","https://www.google.com/maps/place/Hines+India+Real+Estate+Private+Limited/@28.4562532,77.0821269,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d191e40000001:0xedbccd31b453f5fb!8m2!3d28.4513577!4d77.0980926!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDOSARVyZWFsX2VzdGF0ZV9kZXZlbG9wZXLgAQA!16s%2Fg%2F1tgll8ss"
"SYS Developers","585, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","098116 65772","http://www.sysdevelopers.com/","4.9","4","Real estate developer","Wednesday9 am–6 pm","","false","https://www.google.com/maps/place/SYS+Developers/@28.4562532,77.0821269,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d1985afb5d885:0x4d2a32ce27fd9786!8m2!3d28.4581673!4d77.0962627!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEVcmVhbF9lc3RhdGVfZGV2ZWxvcGVymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5sWDA1TVNXVm5FQUXgAQD6AQQIABBD!16s%2Fg%2F11rzqywg79"
"VIBA Realty","H.No, 1233, St Thomas Marg, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","099103 86746","","4.8","4","Real estate developer","Wednesday10 am–8 pm","","false","https://www.google.com/maps/place/VIBA+Realty/@28.4562532,77.0821269,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d18bf891c72d9:0x86e6dfb3a0728581!8m2!3d28.449322!4d77.0814259!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDOSARVyZWFsX2VzdGF0ZV9kZXZlbG9wZXLgAQA!16s%2Fg%2F11byhkrx7y"
"Global real estate","146, Tulsi Marg, DLF Phase 5, Sector 43, Gurugram, Haryana 122009","085888 46637","","5","5","Real estate consultant","Wednesday9 am–5 pm","","false","https://www.google.com/maps/place/Global+real+estate/@28.4562532,77.0821269,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d19392341fd11:0x4dcda75f65e67c68!8m2!3d28.4590795!4d77.0931975!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEWcmVhbF9lc3RhdGVfY29uc3VsdGFudOABAA!16s%2Fg%2F11ptr71b3b"
"Sanjeev Verma | Cityvalues","C-202 Basement, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","097110 05853","http://www.cityvalues.in/","4.7","4","Real estate developer","Wednesday9 am–8 pm","","false","https://www.google.com/maps/place/Sanjeev+Verma+%7C+Cityvalues/@28.4562532,77.0821269,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d18c20281ff05:0xabb2bd7c5c6e237e!8m2!3d28.4553326!4d77.0801178!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEWcmVhbF9lc3RhdGVfY29uc3VsdGFudOABAA!16s%2Fg%2F11fy92fhh6"
"Bajrang Society","C-Block, GH 24, near Ambience Public School, Harizan Colony, Sector 43, Gurugram, Haryana 122009","","","4.5","4","Housing development","WednesdayOpen 24 hours","","false","https://www.google.com/maps/place/Bajrang+Society/@28.4553326,77.0705906,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d18c815588f85:0x1159279843e5fa9e!8m2!3d28.4520774!4d77.0920452!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgETaG91c2luZ19kZXZlbG9wbWVudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSUE0weDFaMlZuRUFF4AEA-gEECAAQHg!16s%2Fg%2F11g65flbdh"
"Axon Developers","Global Foyer, 201A, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","1800 120 9000","https://www.axondevelopers.com/","4.1","4","Real Estate Builders & Construction Company","Wednesday9 am–7 pm","","false","https://www.google.com/maps/place/Axon+Developers/@28.4520774,77.082518,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d1932f82e4d3d:0x16f8b27e9f914326!8m2!3d28.4606042!4d77.0949158!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEUY29uc3RydWN0aW9uX2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmlibHBVZW5oblJSQULgAQD6AQQIWhA_!16s%2Fg%2F11rj5z15lp"
"Arora Realtech Pvt Ltd","C-1069, opposite Vypar Kender, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","098115 86101","http://www.arorarealtech.com/","5","5","Real estate developer","Wednesday9 am–6 pm","","false","https://www.google.com/maps/place/Arora+Realtech+Pvt+Ltd/@28.4520774,77.082518,16z/data=!3m1!5s0x390d18ae091368ab:0xbe6cb9864e78369!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d18c35a5291c5:0x3f9f69280634fa4b!8m2!3d28.4602983!4d77.0846711!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEWcmVhbF9lc3RhdGVfY29uc3VsdGFudOABAA!16s%2Fg%2F1tg7qddj"
