name,address,phone,website,rating,reviewsCount,category,hours,reviews
"Cafe AURIKA | Garden cafe","C - 14, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","088260 02788","","4.2","876","Cafe","Monday8 am–12 amTuesday8 am–12 amWednesday8 am–12 amThursday8 am–12 amFriday8 am–12 amSaturday8 am–12 amSunday8 am–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"Cafe AURIKA | Garden cafe","C - 14, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","088260 02788","","4.2","876","Cafe","Monday8 am–12 amTuesday8 am–12 amWednesday8 am–12 amThursday8 am–12 amFriday8 am–12 amSaturday8 am–12 amSunday8 am–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"Unico","Ground Floor, Global Foyer Mall, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","092664 00540","https://unico.restaurant/","4.7","129","Restaurant","Monday12–11 pmTuesday12–11 pmWednesday12–11 pmThursday12–11 pmFriday12–11 pmSaturday12–11 pmSunday12–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Unico","Ground Floor, Global Foyer Mall, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","092664 00540","https://unico.restaurant/","4.7","129","Restaurant","Monday12–11 pmTuesday12–11 pmWednesday12–11 pmThursday12–11 pmFriday12–11 pmSaturday12–11 pmSunday12–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Vicoli","Global Foyer Mall, Sector 43, Gurugram, Haryana 122009","","https://vicoli.in/#","4.5","54","European restaurant","Monday12 pm–1 amTuesday12 pm–1 amWednesday12 pm–1 amThursday12 pm–1 amFriday12 pm–1 amSaturday12 pm–1 amSunday12 pm–1 amSuggest new hours","[object Object],[object Object],[object Object]"
"ReSet By Plan B - Sector 42","Alpha Corp, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","099997 89556","","4.2","5603","Fast food restaurant","Monday12 pm–12 amTuesday12 pm–12 amWednesday12 pm–12 amThursday12 pm–12 amFriday12 pm–12 amSaturday12 pm–12 amSunday12 pm–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"BEGETERRE - A MUSEUM THEMED RESTAURANT","Ground Floor, G-02, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","092665 11779","https://www.instagram.com/begeterreindia/","4.5","1017","Restaurant","Monday8 am–12 amTuesday8 am–12 amWednesday8 am–12 amThursday8 am–12 amFriday8 am–12 amSaturday8 am–12 amSunday8 am–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"BEGETERRE - A MUSEUM THEMED RESTAURANT","Ground Floor, G-02, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","092665 11779","https://www.instagram.com/begeterreindia/","4.5","1017","Restaurant","Monday8 am–12 amTuesday8 am–12 amWednesday8 am–12 amThursday8 am–12 amFriday8 am–12 amSaturday8 am–12 amSunday8 am–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"Japonico","Second Floor, Tower D, Vipul Tech Square, Golf Course Rd, near Sector 42-43, Sector 43, Gurugram, Haryana 122009","099480 00039","https://www.instagram.com/japonico.ggn?igsh=YXZ2dnNraHFuYW8x","4.2","386","Japanese restaurant","Monday12–4 pm7 pm–1 amTuesday12–4 pm7 pm–1 amWednesday12–4 pm7 pm–1 amThursday12–4 pm7 pm–1 amFriday12–4 pm7 pm–1 amSaturday12–4 pm7 pm–2 amSunday12–4 pm7 pm–2 amSuggest new hours","[object Object],[object Object],[object Object]"
"Japonico","Second Floor, Tower D, Vipul Tech Square, Golf Course Rd, near Sector 42-43, Sector 43, Gurugram, Haryana 122009","099480 00039","https://www.instagram.com/japonico.ggn?igsh=YXZ2dnNraHFuYW8x","4.2","386","Japanese restaurant","Monday12–4 pm7 pm–1 amTuesday12–4 pm7 pm–1 amWednesday12–4 pm7 pm–1 amThursday12–4 pm7 pm–1 amFriday12–4 pm7 pm–1 amSaturday12–4 pm7 pm–2 amSunday12–4 pm7 pm–2 amSuggest new hours","[object Object],[object Object],[object Object]"
